index,cik,ticker,name
0,320193,AAPL,Apple Inc.
1,789019,MSFT,MICROSOFT CORP
2,1018724,AMZN,AMAZON COM INC
3,1652044,GOOG,Alphabet Inc.
4,1293451,TCEHY,Tencent Holdings Ltd
5,1318605,TSLA,"Tesla, Inc."
6,1326801,FB,Facebook Inc
7,1577552,BABA,Alibaba Group Holding Ltd
8,1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
9,1067983,BRK-A,BERKSHIRE HATHAWAY INC
10,1403161,V,VISA INC.
11,200406,JNJ,JOHNSON & JOHNSON
12,19617,JPM,JPMORGAN CHASE & CO
13,104169,WMT,Walmart Inc.
14,884394,SPY,SPDR S&P 500 ETF TRUST
15,1045810,NVDA,NVIDIA CORP
16,1141391,MA,Mastercard Inc
17,80424,PG,PROCTER & GAMBLE Co
18,731766,UNH,UNITEDHEALTH GROUP INC
19,1744489,DIS,Walt Disney Co
20,824046,LVMUY,LVMH MOET HENNESSY LOUIS VUITTON
21,354950,HD,"HOME DEPOT, INC."
22,1633917,PYPL,"PayPal Holdings, Inc."
23,1445468,IDCBY,Industrial & Commercial Bank of China
24,70858,BAC,BANK OF AMERICA CORP /DE/
25,1065280,NFLX,NETFLIX INC
26,937966,ASML,ASML HOLDING NV
27,50863,INTC,INTEL CORP
28,1166691,CMCSA,COMCAST CORP
29,796343,ADBE,ADOBE INC.
30,732712,VZ,VERIZON COMMUNICATIONS INC
31,1800,ABT,ABBOTT LABORATORIES
32,320187,NKE,"NIKE, Inc."
33,1737806,PDD,Pinduoduo Inc.
34,1108524,CRM,"SALESFORCE.COM, INC."
35,21344,KO,COCA COLA CO
36,1114448,NVS,NOVARTIS AG
37,97745,TMO,THERMO FISHER SCIENTIFIC INC.
38,732717,T,AT&T INC.
39,1495688,CIHKY,"China Merchants Bank Co., Ltd./ADR/"
40,1341439,ORCL,ORACLE CORP
41,78003,PFE,PFIZER INC
42,310158,MRK,"Merck & Co., Inc."
43,1094517,TM,TOYOTA MOTOR CORP/
44,59478,LLY,ELI LILLY & Co
45,1445474,CICHY,China Construction Bank Corp
46,858877,CSCO,"CISCO SYSTEMS, INC."
47,34088,XOM,EXXON MOBIL CORP
48,1730168,AVGO,Broadcom Inc.
49,77476,PEP,PEPSICO INC
50,1341439,ORCL,ORACLE CORP
